,Title,User Rating,Metacritic,Number of Votes,Running Time,Release Date,Director
787,TINY: The Life of Erin Blackwell,7.3,68,34,1h 27min,19 July 2019 (USA),Martin Bell
788,Zoo,5.6,63,"2,686",1h 15min,30 May 2008 (UK),Robinson Devor
789,Defying Gravity: The Untold Story of Women's Gymnastics,N/A,N/A,N/A,N/A,TV Mini-Series (2020– ),N/A
790,Sound City,7.8,76,"12,028",1h 47min,18 February 2013 (UK),Dave Grohl
791,Climate Hustle,5.5,N/A,138,1h 18min,12 July 2017 (Australia),Christopher Rogers
792,Aquarela,6.6,80,"1,070",1h 30min,12 December 2019 (Germany),Viktor Kosakovskiy
793,"Vernon, Florida",7.1,N/A,"3,005",55min,8 October 1981 (USA),Errol Morris
794,Porn Star: The Legend of Ron Jeremy,6.3,N/A,"2,274",1h 17min,January 2001 (USA),Scott J. Gill
795,Andre the Giant,7.8,N/A,"5,331",1h 25min,TV Movie 10 April 2018,Jason Hehir
796,Mondo Topless,5.0,N/A,"1,078",1h,1 October 1966 (USA),Russ Meyer
797,The American Meme,7.1,N/A,"9,585",1h 38min,7 December 2018 (Argentina),Bert Marcus
798,The War Room,7.3,78,"3,786",1h 36min,January 1994 (USA),Chris Hegedus
799,Mysteries at the Museum,8.1,N/A,"1,010",1h,TV Series (2010– ),Stephanie Angelides
800,Fatal Vows,6.6,N/A,164,1h,TV Series (2012– ),Kathleen Fee
801,The Queen of Versailles,7.1,80,"12,451",1h 40min,16 August 2014 (Japan),Lauren Greenfield
802,They'll Love Me When I'm Dead,7.4,77,"4,111",1h 38min,2 November 2018 (USA),Morgan Neville
803,The Green Fairy,6.2,N/A,119,1h 30min,21 January 2016 (USA),Dan Frank
804,The Hunting Ground,7.4,77,"5,829",1h 43min,1 January 2016 (Belgium),Kirby Dick
805,"Food, Inc.",7.8,80,"49,068",1h 34min,31 July 2009 (USA),Robert Kenner
806,Jane Fonda in Five Acts,8.0,87,"1,791",2h 13min,24 September 2018 (USA),Susan Lacy
807,Strong Island,6.4,86,"3,420",1h 47min,15 September 2017 (USA),Yance Ford
808,The Pixar Story,7.8,N/A,"5,776",1h 27min,28 August 2007 (USA),Leslie Iwerks
809,Greatness Code,4.3,N/A,198,6min,TV Series (2020– ),Usain Bolt
810,Reliving Our Fast Times at Ridgemont High,6.1,N/A,48,39min,Video 1999,J.M. Kenny
811,Red Penguins,6.6,76,122,1h 20min,4 August 2020 (USA),Gabe Polsky
812,Generation Iron,7.1,61,"7,530",1h 46min,20 September 2013 (USA),Vlad Yudin
813,The World Wars,8.0,N/A,"2,085",4h 30min,TV Series (2014– ),Mike Adler
814,The Cheshire Murders,6.6,N/A,"2,025",1h 58min,TV Movie 22 July 2013,Kate Davis
815,Bully,7.3,74,"9,746",1h 38min,27 April 2012 (Iceland),Lee Hirsch
816,Who Killed Malcolm X?,7.6,N/A,"1,462",43min,TV Mini-Series (2019–2020),Abdur-Rahman Muhammad
817,Genesis 2.0,7.1,N/A,429,1h 52min,2 January 2019 (USA),Christian Frei
818,Betting on Zero,7.2,72,"4,757",1h 39min,17 March 2017 (USA),Ted Braun
819,Hostile Planet,8.2,N/A,465,47min,TV Mini-Series (2019– ),Bear Grylls
820,My Tourette's,6.5,N/A,15,1h 15min,4 March 2018 (USA),Alessandro Molatore
821,Tower,7.9,92,"7,195",1h 22min,3 February 2017 (UK),Keith Maitland
822,Filmworker,7.4,73,"2,614",1h 34min,11 May 2018 (Canada),Tony Zierra
823,The 24 Hour War,7.2,N/A,"1,758",1h 39min,2016 (USA),Nate Adams
824,Sex on //,5.8,N/A,139,27min,TV Series (2014– ),Taylor Haisch
825,ReMastered: Devil at the Crossroads,7.0,N/A,"1,993",48min,TV Movie 26 April 2019,Brian Oakes
826,Miss Representation,7.6,N/A,"3,563",1h 25min,15 April 2014 (Netherlands),Jennifer Siebel Newsom
827,The Devil We Know,7.7,N/A,882,1h 35min,23 May 2019 (Germany),Stephanie Soechtig
828,Paradise Lost 2: Revelations,7.6,N/A,"8,032",2h 10min,TV Movie 12 March 2001,Joe Berlinger
829,Tyson,7.5,83,"12,098",1h 30min,15 May 2009 (USA),James Toback
830,Live from Daryl's House,9.0,N/A,129,N/A,TV Series (2007– ),Daryl Hall
831,Playboy: Sizzling Sex Stars,6.9,N/A,119,1h 10min,Video 5 May 2003,Robert Kubilos
832,The Irishman: In Conversation,7.4,N/A,"1,413",23min,27 November 2019 (USA),Martin Scorsese
833,The Magic Pill,7.1,N/A,"1,993",1h 31min,7 September 2017 (Australia),Robert Tate
834,Wildboyz,7.2,N/A,"4,133",30min,TV Series (2003–2006),Sean Cliver
835,Chicago 10,7.3,69,"1,209",1h 50min,18 January 2007 (USA),Brett Morgen
836,The Woman Who Wasn't There,6.8,N/A,"1,775",1h 5min,7 September 2012 (Germany),Angelo J. Guglielmo Jr.
837,Year Million,7.4,N/A,432,47min,TV Mini-Series (2017),Negin Farsad
838,Blackpink: Light Up the Sky,N/A,N/A,N/A,1h 19min,14 October 2020 (USA),Caroline Suh
839,Absurd Planet,3.9,N/A,"1,160",N/A,TV Series (2020– ),Afi Ekulona
840,Side by Side,7.6,82,"12,944",1h 39min,22 August 2012 (USA),Christopher Kenneally
841,Crystal Lake Memories: The Complete History of Friday the 13th,8.5,N/A,"1,856",6h 40min,Video 13 September 2013,Daniel Farrands
842,A Brief History of Time,7.3,78,"5,128",1h 20min,16 October 1992 (Australia),Errol Morris
843,Hated: GG Allin & the Murder Junkies,7.3,N/A,"2,834",52min,1993 (USA),Todd Phillips
844,"Playboy: No Boys Allowed, 100% Girls 4",6.1,N/A,23,54min,Video 8 May 2007,Kristi Cline
845,Assassins,7.3,76,30,1h 44min,10 October 2020 (Japan),Ryan White
846,Porndemic,6.2,N/A,382,1h 32min,7 December 2018 (USA),Spookie Daly
847,Messiah by Handel Through Brian Gibson's Eyes,N/A,N/A,N/A,N/A,N/A,Christopher Bela
848,Black Love,5.8,N/A,209,42min,TV Series (2017– ),D.L. Hughley
849,Hitting the Apex,8.3,N/A,"2,881",2h 18min,23 September 2015 (Italy),Mark Neale
850,One Day at Disney,7.3,N/A,305,5min,TV Series (2019– ),Eric Goldberg
851,Elvis: That's the Way It Is,8.1,N/A,"2,382",1h 37min,11 November 1970 (USA),Denis Sanders
852,Dark Net,7.1,N/A,"1,389",30min,TV Series (2016– ),Mati Kochavi
853,The Trump I Know,N/A,N/A,N/A,1h 30min,1 October 2020 (USA),Matthew Thayer
854,Public Speaking,7.6,N/A,"1,572",1h 24min,22 November 2010 (USA),Martin Scorsese
855,The 50 Year Argument,6.5,N/A,602,1h 37min,29 January 2015 (Denmark),Martin Scorsese
856,The Legend of Cocaine Island,6.3,N/A,"2,630",1h 23min,29 March 2019 (USA),Theo Love
857,Return to Mount Kennedy,7.6,N/A,16,1h 20min,5 November 2019 (USA),Eric Becker
858,The Need to Grow,8.2,N/A,95,1h 36min,13 October 2019 (USA),Rob Herring
859,Blood on the Wall,5.8,N/A,5,N/A,30 September 2020 (USA),Sebastian Junger
860,Unzipped,6.5,N/A,"1,041",1h 13min,11 August 1995 (USA),Douglas Keeve
861,Fandango at the Wall,8.2,N/A,32,1h 32min,21 August 2020 (USA),Varda Bar-Kar
862,City Confidential,8.6,N/A,433,50min,TV Series (1998–2006),Paul Winfield
863,Rescue 911,7.5,N/A,878,1h,TV Series (1989–1996),William Shatner
864,What on Earth?,5.8,N/A,471,44min,TV Series (2015– ),Steven Kearney
865,The Price of Everything,7.2,76,893,1h 38min,19 October 2018 (USA),Nathaniel Kahn
866,Hoarding: Buried Alive,6.5,N/A,656,N/A,TV Series (2010–2014),Bray Poor
867,Hearts and Minds,8.2,68,"5,232",1h 52min,17 November 1975 (Sweden),Peter Davis
868,Chronos,7.8,N/A,"3,246",43min,10 May 1985 (USA),Ron Fricke
869,America: Imagine the World Without Her,5.4,N/A,"6,480",1h 45min,2 July 2014 (USA),Dinesh D'Souza
870,I'm a Pornstar: Gay4Pay,7.0,N/A,81,53min,12 April 2016 (USA),Charlie David
871,The Original Kings of Comedy,6.9,73,"5,317",1h 55min,18 August 2000 (USA),Spike Lee
872,The Houses October Built,6.4,N/A,475,1h 34min,N/A,Bobby Roe
873,Inside the Criminal Mind,5.4,N/A,713,52min,TV Series (2017– ),Geoffrey Martin
874,The Projectionist,6.5,65,44,1h 21min,28 April 2019 (USA),Abel Ferrara
875,Tupac: Resurrection,7.9,66,"8,927",1h 52min,14 November 2003 (USA),Lauren Lazin
876,Struggle: The Life and Lost Art of Szukalski,8.0,N/A,"2,905",1h 55min,21 December 2018 (USA),Irek Dobrowolski
877,In the Absence,7.7,N/A,"1,082",28min,9 November 2018 (USA),Seung-jun Yi
878,Ghost Adventures,7.8,N/A,"2,009",1h 27min,25 July 2007 (USA),Zak Bagans
879,Marina Abramovic: The Artist Is Present,7.9,74,"5,738",1h 46min,5 July 2012 (Russia),Matthew Akers
880,The Bleeding Edge,7.7,74,"2,056",1h 39min,27 July 2018 (USA),Kirby Dick
881,The Russian Five,8.2,75,831,1h 42min,6 November 2019 (USA),Joshua Riehl
882,The Influence,N/A,N/A,N/A,N/A,1 December 2019 (USA),Romelus
883,United Shades of America,6.5,N/A,613,42min,TV Series (2016– ),W. Kamau Bell
884,Terms and Conditions May Apply,7.3,68,"5,863",1h 19min,12 July 2013 (USA),Cullen Hoback
885,This Is Elvis,7.5,N/A,"1,149",1h 50min,10 April 1981 (USA),Malcolm Leo
886,Festival,7.6,N/A,478,1h 35min,23 October 1967 (USA),Murray Lerner
887,Quincy,7.6,N/A,"3,393",2h 4min,21 September 2018 (USA),Alan Hicks
888,The Longest War,6.8,N/A,196,1h 30min,15 August 2020 (UK),Greg Barker
889,Alone in the Wilderness,8.7,N/A,"3,407",57min,TV Movie 8 October 2004,Sam Keith
890,The Man Who Saved the World,7.6,N/A,"1,891",1h 50min,18 September 2015 (USA),Peter Anthony
891,Finding Joe,6.9,N/A,312,1h 20min,30 September 2011 (USA),Patrick Takaya Solomon
892,Star Wars Galaxy's Edge: Adventure Awaits,5.4,N/A,71,1h 24min,TV Movie 29 September 2019,John Boyega
893,Sneakerheadz,6.4,N/A,680,1h 13min,7 August 2015 (USA),David T. Friendly
894,Asteroid Hunters,N/A,N/A,N/A,N/A,N/A,W.D. Hogan
895,Jackass 2.5,6.4,N/A,"19,890",1h 4min,Video 19 December 2007,Jeff Tremaine
896,David Blaine: Ascension,4.4,N/A,84,2h 58min,TV Special 2 September 2020,Matthew Akers
897,Unsung,8.7,N/A,314,1h,TV Series (2008– ),Gary Anthony Williams
898,The Green Book: Guide to Freedom,8.3,N/A,593,1h,TV Movie 25 February 2019,Yoruba Richen
899,The Age of A.I.,7.8,N/A,268,N/A,TV Series (2019–2020),Robert Downey Jr.
900,Life in a Day,7.7,N/A,"14,761",1h 35min,27 January 2011 (USA),Loressa Clisby
901,306 Hollywood,6.5,66,178,1h 34min,28 September 2018 (USA),Elan Bogarín
902,The Messy Truth with Van Jones,5.1,N/A,33,N/A,TV Mini-Series (2016–2017),Van Jones
903,Fyre Fraud,6.8,N/A,"5,178",1h 36min,14 January 2019 (USA),Jenner Furst
904,Vaxxed II: The People's Truth,6.6,N/A,"1,187",1h 30min,6 November 2019 (USA),Brian Burrowes
905,Kings of Pain,6.5,N/A,214,40min,TV Series (2019– ),Robert Alleva
906,American Justice,8.1,N/A,642,1h,TV Series (1992–2005),Bill Kurtis
907,We Are the Dream: The Kids of the Oakland MLK Oratorical Fest,6.0,N/A,38,1h,18 February 2020 (USA),Amy Schatz
908,Lenny Cooke,6.8,70,598,1h 28min,7 June 2016 (USA),Benny Safdie
909,Horror Noire: A History of Black Horror,7.7,N/A,914,1h 23min,7 February 2019 (USA),Xavier Burgin
910,Navy SEALs: BUDS Class 234,8.5,N/A,417,N/A,TV Mini-Series (2000– ),N/A
911,Chuck Berry Hail! Hail! Rock 'n' Roll,7.8,N/A,"1,221",2h,9 October 1987 (USA),Taylor Hackford
912,Witches of Salem,7.0,N/A,80,2h 48min,TV Mini-Series (2019),Chayla Day
913,Once Is Enough,7.3,N/A,99,1h 14min,8 May 2020 (USA),Jeffrey James Binney
914,Who Do You Think You Are?,8.1,N/A,"1,263",1h,TV Series (2010– ),Mocean Melvin
915,The Case Against Adnan Syed,6.6,N/A,"1,781",4h 28min,TV Mini-Series (2019),Luke Brindle-Khym
916,Junun,7.3,78,"1,855",54min,9 October 2015 (USA),Paul Thomas Anderson
917,Monsterquest,7.1,N/A,951,45min,TV Series (2007– ),Doug Hajicek
918,Kate Plays Christine,6.2,75,924,1h 52min,14 October 2016 (UK),Robert Greene
919,"Hale County This Morning, This Evening",6.3,85,"1,754",1h 16min,14 September 2018 (USA),RaMell Ross
920,Tricked: The Documentary,6.0,61,"1,467",1h 13min,13 December 2013 (USA),John Keith Wasson
921,Roll Red Roll,7.1,83,"1,607",1h 20min,3 January 2019 (Norway),Nancy Schwartzman
922,In Search of...,8.6,N/A,853,30min,TV Series (1976–1982),Leonard Nimoy
923,Breakthrough,7.6,N/A,252,1h,TV Series (2015– ),Mike Colter
924,The Amazing Johnathan Documentary,6.5,N/A,"1,239",1h 31min,16 August 2019 (USA),Benjamin Berman
925,Pandora Peaks,4.1,N/A,277,1h 11min,Video 25 October 2004,Russ Meyer
926,"Playboy: Blondes, Brunettes, Redheads",7.2,N/A,321,51min,Video 19 August 1998,Steve Silas
927,Extraordinary: The Stan Romanek Story,3.8,N/A,"1,676",1h 45min,2 November 2013 (USA),Jon Sumple
928,American Gangster,7.8,N/A,218,1h,TV Series (2006–2009),Barry Michael Cooper
929,Ant Anstead Master Mechanic,7.3,N/A,32,N/A,TV Series (2019– ),Ant Anstead
930,Iverson,7.1,N/A,"3,671",1h 46min,27 April 2014 (USA),Zatella Beatty
931,Terrorism Close Calls,5.3,N/A,492,50min,TV Series (2018– ),David Bitkower
932,I (Almost) Got Away with It,7.5,N/A,605,N/A,TV Series (2010– ),Bill Ratner
