,Title,User Rating,Metacritic,Number of Votes,Running Time,Release Date,Director
100,Dear Zachary: A Letter to a Son About His Father,8.5,82,"32,499",1h 35min,January 2008 (USA),Kurt Kuenne
101,Samsara,8.5,65,"32,632",1h 42min,23 August 2012 (Germany),Ron Fricke
102,American Pickers,7.0,N/A,"6,768",1h,TV Series (2010– ),Mike Wolfe
103,Baraka,8.6,N/A,"35,633",1h 36min,19 November 1993 (USA),Ron Fricke
104,Unacknowledged,7.0,N/A,"6,721",1h 40min,9 May 2017 (USA),Michael Mazzola
105,Abducted in Plain Sight,6.8,N/A,"14,465",1h 31min,15 January 2019 (USA),Skye Borgman
106,Last Chance U,8.5,N/A,"5,809",55min,TV Series (2016–2020),Ron Ollie
107,Faces of Death,4.2,N/A,"6,063",1h 45min,10 November 1978 (USA),John Alan Schwartz
108,How the Universe Works,8.9,N/A,"5,505",1h,TV Series (2010– ),Phil Plait
109,Grizzly Man,7.8,87,"52,169",1h 43min,27 October 2005 (Portugal),Werner Herzog
110,Minimalism: A Documentary About the Important Things,6.7,N/A,"12,871",1h 18min,2016 (USA),Matt D'Avella
111,(Un)Well,6.3,N/A,603,N/A,TV Series (2020– ),N/A
112,Playboy Video Centerfold: Playmate of the Year Lisa Matthews,6.3,N/A,143,45min,Video 1991,Skott Snider
113,What the #$*! Do We (K)now!?,5.3,N/A,"13,142",1h 49min,22 October 2004 (USA),William Arntz
114,Won't You Be My Neighbor?,8.4,85,"22,147",1h 35min,29 June 2018 (USA),Morgan Neville
115,X-Rated 2: The Greatest Adult Stars of All Time!,5.9,N/A,131,1h 27min,TV Movie 28 October 2016,Bryn Pryor
116,30 for 30,8.8,N/A,"4,194",1h,TV Series (2009– ),Dick Vitale
117,Have a Good Trip: Adventures in Psychedelics,6.8,N/A,"5,269",1h 25min,11 May 2020 (USA),Donick Cary
118,Earthlings,8.7,N/A,"17,631",1h 35min,24 September 2005 (USA),Shaun Monson
119,After Porn Ends,5.7,N/A,"7,490",1h 34min,21 May 2012 (USA),Bryce Wagoner
120,Rewind,8.0,87,774,1h 26min,8 May 2020 (USA),Sasha Joseph Neulinger
121,Disclosure,8.3,80,"3,031",1h 48min,19 June 2020 (USA),Sam Feder
122,Your Worst Nightmare,7.0,N/A,490,43min,TV Series (2014– ),D.C. Goode
123,One Strange Rock,8.8,N/A,"6,259",47min,TV Series (2018– ),Will Smith
124,The Incredible Dr. Pol,8.6,N/A,"1,150",44min,TV Series (2011– ),Monica Austin
125,Fyre,7.2,75,"35,286",1h 37min,18 January 2019 (USA),Chris Smith
126,Super Size Me,7.2,73,"100,137",1h 40min,11 June 2004 (USA),Morgan Spurlock
127,Life,9.1,N/A,"37,299",7h 53min,TV Mini-Series (2009),Oprah Winfrey
128,World's Most Wanted,7.2,N/A,"1,307",N/A,TV Series (2020– ),Thomas Fuentes
129,Thor: Finding Korg,7.5,N/A,175,8min,Video 6 March 2018,Chris Hemsworth
130,Evil Lives Here,8.0,N/A,666,43min,TV Series (2016– ),T.J. Craig
131,76 Days,7.2,81,28,1h 33min,2 October 2020 (USA),Weixi Chen
132,The Civil War,9.0,N/A,"13,173",11h 20min,TV Mini-Series (1990),David McCullough
133,Oliver Sacks: His Own Life,7.9,82,35,1h 51min,23 September 2020 (USA),Ric Burns
134,Anthony Bourdain: Parts Unknown,8.8,N/A,"4,608",42min,TV Series (2013–2018),Anthony Bourdain
135,The Dawn Wall,8.1,81,"13,516",1h 40min,14 September 2018 (USA),Josh Lowell
136,The Biggest Little Farm,8.1,73,"4,909",1h 31min,10 May 2019 (USA),John Chester
137,You Cannot Kill David Arquette,7.2,66,425,1h 31min,21 August 2020 (USA),David Darg
138,Cold Case Files,8.0,N/A,915,43min,TV Series (2017– ),Danny Glover
139,The Universe,8.8,N/A,"4,986",45min,TV Series (2007– ),Erik Thompson
140,The Keepers,8.1,N/A,"17,267",7h 16min,TV Mini-Series (2017),Gemma Hoskins
141,I Am Not Your Negro,7.9,95,"18,683",1h 33min,17 February 2017 (USA),Raoul Peck
142,Cold Case Files,8.1,N/A,"1,370",44min,TV Series (1999– ),Bill Kurtis
143,Explained,8.1,N/A,"6,260",18min,TV Series (2018– ),Joe Posner
144,Time,6.9,N/A,46,1h 21min,16 October 2020 (USA),Garrett Bradley
145,Hoarders,6.4,N/A,"2,354",44min,TV Series (2009– ),Matt Paxton
146,Conversations with a Killer: The Ted Bundy Tapes,7.8,N/A,"21,602",3h 56min,TV Mini-Series (2019),Joe Berlinger
147,Becoming,6.8,66,"4,922",1h 29min,6 May 2020 (USA),Nadia Hallgren
148,Lenox Hill,8.7,N/A,"1,498",N/A,TV Series (2020),John Boockvar
149,Somebody Feed Phil,8.2,N/A,"2,889",1h,TV Series (2018– ),Phil Rosenthal
150,Grey Gardens,7.6,82,"11,939",1h 35min,27 September 1975 (USA),Ellen Hovde
151,Jackass Number Two,7.0,66,"65,796",1h 32min,22 September 2006 (USA),Jeff Tremaine
152,Evil Genius: The True Story of America's Most Diabolical Bank Heist,7.6,N/A,"21,163",3h 12min,TV Mini-Series (2018),Kevin G. Calkins
153,The Last Shaman,6.7,N/A,"1,152",1h 17min,1 September 2017 (USA),Raz Degan
154,Lance,7.5,N/A,582,3h 22min,25 May 2020 (USA),Marina Zenovich
155,The Joy of Painting,9.4,N/A,"4,168",30min,TV Series (1983–1994),Bob Ross
156,Endgame 2050,5.6,N/A,159,1h 33min,19 May 2020 (USA),Sofia Pineda Ochoa
157,Weird But True,7.2,N/A,40,30min,TV Series (2016– ),Charlie Engelman
158,Athlete A,7.7,85,"5,719",1h 43min,24 June 2020 (USA),Bonni Cohen
159,The Standard,6.8,N/A,26,1h 31min,8 September 2020 (USA),Phil Wall
160,Jackass 3D,7.0,N/A,"56,099",1h 34min,15 October 2010 (USA),Jeff Tremaine
161,History of Horror,8.1,N/A,"1,094",4h 56min,TV Mini-Series (2018),Eli Roth
162,After Porn Ends 2,5.5,N/A,"2,364",1h 30min,28 March 2017 (USA),Bryce Wagoner
163,Playboy: Sexiest Amateur Home Videos,6.6,N/A,166,1h 7min,Video 19 April 2005,Derek Harvey
164,Helter Skelter,7.4,N/A,265,N/A,TV Mini-Series (2020– ),Ivor Davis
165,Senna,8.5,79,"62,625",1h 46min,25 May 2011 (France),Asif Kapadia
