,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
825,Reincarnated,6.2,N/A,"2,368",1h 36min,22 March 2013 (UK),Andy Capper
826,Hype!,7.6,N/A,"2,367",1h 24min,8 November 1996 (USA),Doug Pray
827,Narco Cultura,7.2,74,"2,366",1h 43min,21 March 2014 (Mexico),Shaul Schwarz
828,After Porn Ends 2,5.5,N/A,"2,364",1h 30min,28 March 2017 (USA),Bryce Wagoner
829,Metallica: Cunning Stunts,8.3,N/A,"2,363",2h 10min,Video 8 December 1998,Wayne Isham
830,Bones Brigade: An Autobiography,8.1,66,"2,361",1h 30min,1 December 2012 (Japan),Stacy Peralta
831,Take the Ball Pass the Ball: The Making of the Greatest Team in the World,8.1,N/A,"2,356",1h 49min,5 November 2018 (Germany),Duncan McMath
832,Human Flow,7.0,77,"2,351",2h 20min,20 October 2017 (USA),Weiwei Ai
833,Alamar,7.3,77,"2,350",1h 13min,14 July 2010 (USA),Pedro González-Rubio
834,Nirvana Live! Tonight! Sold Out!!,8.4,N/A,"2,349",1h 30min,Video 16 December 1994,Kevin Kerslake
835,The Wildest Dream,7.3,N/A,"2,347",1h 34min,6 August 2010 (USA),Anthony Geffen
836,Loose Change: Final Cut,7.2,N/A,"2,340",1h 20min,Video 11 November 2007,Dylan Avery
837,Tig,7.4,N/A,"2,338",1h 35min,6 June 2015 (USA),Kristina Goolsby
838,Monty Python Live (Mostly),7.7,N/A,"2,338",2h 42min,20 July 2014 (UK),Eric Idle
839,Next Goal Wins,7.9,71,"2,338",1h 37min,9 May 2014 (UK),Mike Brett
840,The White Stripes Under Great White Northern Lights,8.0,N/A,"2,332",1h 33min,5 August 2010 (USA),Emmett Malloy
841,Bill Hicks: Relentless,8.7,N/A,"2,331",1h 1min,Video,Chris Bould
842,I Want to Live,6.0,N/A,"2,326",1h 46min,3 January 2015 (USA),Karzan Kardozi
843,Planet of the Humans,6.9,N/A,"2,326",1h 40min,31 July 2019 (USA),Jeff Gibbs
844,Led Zeppelin: Celebration Day,8.8,N/A,"2,325",2h 4min,17 October 2012 (UK),Dick Carruthers
845,Sherman's March,7.3,N/A,"2,325",2h 37min,4 February 1988 (Australia),Ross McElwee
846,The Overnighters,7.4,89,"2,323",1h 42min,31 October 2014 (UK),Jesse Moss
847,Fitna,4.6,N/A,"2,322",15min,27 March 2008 (Netherlands),Scarlet Pimpernel
848,QT8: The First Eight,7.3,N/A,"2,320",1h 43min,21 October 2019 (USA),Tara Wood
849,Burma VJ: Reporter i et lukket land,8.0,82,"2,317",1h 24min,9 January 2009 (Denmark),Anders Østergaard
850,Crossfire Hurricane,7.4,N/A,"2,315",1h 51min,18 October 2012 (UK),Brett Morgen
851,The Dissident,8.4,85,"2,315",1h 59min,24 January 2020 (USA),Bryan Fogel
852,Kon-Tiki,8.0,N/A,"2,313",1h 17min,13 January 1950 (Sweden),Thor Heyerdahl
853,José e Pilar,8.3,N/A,"2,303",1h 57min,April 2012 (USA),Miguel Gonçalves Mendes
854,Cameraperson,7.4,86,"2,302",1h 42min,27 January 2017 (UK),Kirsten Johnson
855,A Plastic Ocean,8.0,N/A,"2,298",1h 42min,19 April 2017 (Netherlands),Craig Leeson
856,Panodrama,3.5,N/A,"2,288",1h 4min,23 February 2019 (UK),Tommy Robinson
857,The Hornet's Nest,6.7,61,"2,285",1h 33min,9 May 2014 (USA),David Salzberg
858,The Pearl Button,7.6,80,"2,284",1h 22min,15 October 2015 (Chile),Patricio Guzmán
859,Make Us Dream,8.0,N/A,"2,282",1h 44min,15 November 2018 (UK),Sam Blair
860,35 Up,8.2,N/A,"2,282",2h 3min,TV Movie 15 January 1992,Michael Apted
861,Love Is a Verb,5.6,N/A,"2,280",55min,1 April 2014 (USA),Terry Spencer Hesser
862,102 Minutes That Changed America,8.3,N/A,"2,279",1h 42min,TV Movie 11 September 2008,Nicole Rittenmeyer
863,On the Way to School,7.4,N/A,"2,278",1h 21min,23 October 2009 (Turkey),Özgür Dogan
864,Becoming Bond,7.5,65,"2,275",1h 35min,20 May 2017 (USA),Josh Greenbaum
865,Dominion,9.1,N/A,"2,275",2h,10 June 2018 (Brazil),Chris Delforce
866,Saturday Night Live: The Best of Chris Farley,8.2,N/A,"2,275",50min,TV Special 5 April 2000,Beth McCarthy-Miller
867,Porn Star: The Legend of Ron Jeremy,6.3,N/A,"2,274",1h 17min,January 2001 (USA),Scott J. Gill
868,Démolition d'un mur,6.4,N/A,"2,274",1min,6 March 1896 (France),Louis Lumière
869,Revealing Ukraine,7.0,N/A,"2,272",1h 24min,4 July 2019 (Italy),Igor Lopatonok
870,Den unge Zlatan,6.6,N/A,"2,267",1h 40min,13 February 2016 (Netherlands),Fredrik Gertten
871,Hans Zimmer: Live in Prague,9.1,N/A,"2,266",2h 30min,TV Special 3 November 2017,Tim Van Someren
872,Werner Herzog Eats His Shoe,7.2,N/A,"2,266",20min,October 1980 (USA),Les Blank
873,Everybody's Everything,7.5,71,"2,258",1h 56min,15 November 2019 (USA),Sebastian Jones
874,Rivers and Tides,7.9,82,"2,259",1h 30min,7 March 2002 (Germany),Thomas Riedelsheimer
875,John Wick: Car Fu Ride-Along,8.0,N/A,"2,254",5min,Video 13 June 2017,Josh Oreck
876,Corman's World: Exploits of a Hollywood Rebel,7.5,N/A,"2,252",1h 35min,21 February 2012 (UK),Alex Stapleton
877,Jim Gaffigan: King Baby,7.8,N/A,"2,250",1h,TV Special 29 March 2009,Troy Miller
878,Harmontown,7.3,61,"2,249",1h 41min,8 March 2014 (USA),Neil Berkeley
879,Wheel of Time,7.1,65,"2,247",1h 20min,30 October 2003 (Germany),Werner Herzog
880,Generation Iron 2,6.1,N/A,"2,240",1h 46min,12 May 2017 (USA),Vlad Yudin
881,Die große Ekstase des Bildschnitzers Steiner,7.7,N/A,"2,240",45min,1 January 1974 (West Germany),Werner Herzog
882,Are All Men Pedophiles?,6.1,N/A,"2,239",1h 10min,1 March 2013 (USA),Jan-Willem Breure
883,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,7.7,75,"2,239",1h 32min,17 October 2009 (USA),Judith Ehrlich
884,6 Days to Air: The Making of South Park,7.7,N/A,"2,237",42min,TV Short 9 October 2011,Arthur Bradford
885,Echo in the Canyon,6.9,69,"2,231",1h 22min,7 June 2019 (Canada),Andrew Slater
886,The Art of the Steal,7.6,75,"2,231",1h 41min,29 September 2009 (USA),Don Argott
887,The War on Democracy,8.2,N/A,"2,212",1h 36min,15 June 2007 (UK),Chris Martin
888,Iliza Shlesinger: Freezing Hot,6.8,N/A,"2,208",1h 11min,TV Special 23 January 2015,Samuel Brownfield
889,The Clowns,7.1,N/A,"2,208",1h 32min,TV Movie 25 December 1970,Federico Fellini
890,Die große Stille,7.4,78,"2,203",2h 49min,10 November 2005 (Germany),Philip Gröning
891,Leave the World Behind,7.8,N/A,"2,201",1h 35min,April 2014 (USA),Christian Larson
892,David Bowie: The Last Five Years,7.5,N/A,"2,200",1h 30min,7 January 2017 (UK),Francis Whately
893,American Grindhouse,7.1,N/A,"2,198",1h 20min,13 March 2010 (USA),Elijah Drenner
894,Cinemania,7.1,67,"2,195",1h 23min,10 April 2003 (Germany),Angela Christlieb
895,Heroin(e),6.8,N/A,"2,192",39min,12 September 2017 (USA),Elaine McMillion Sheldon
896,Hell and Back Again,6.5,81,"2,190",1h 28min,5 October 2011 (USA),Danfung Dennis
897,Children Underground,8.3,85,"2,190",1h 44min,5 October 2003 (Australia),Edet Belzberg
898,Studio 54,7.0,70,"2,188",1h 38min,5 October 2018 (USA),Matt Tyrnauer
899,Fastest,7.8,N/A,"2,181",1h 51min,4 April 2012 (Italy),Mark Neale
900,Rich Hill,7.2,75,"2,177",1h 31min,1 August 2014 (USA),Andrew Droz Palermo
901,The Cave,7.5,83,"2,176",1h 47min,18 October 2019 (USA),Feras Fayyad
902,Blood of the Beasts,7.8,N/A,"2,175",22min,1949 (France),Georges Franju
903,One Direction: Where We Are - The Concert Film,6.7,N/A,"2,172",1h 15min,11 October 2014 (USA),Paul Dugdale
904,Making 'The Shining',7.6,N/A,"2,172",35min,TV Short 4 October 1980,Vivian Kubrick
905,The Mystery of Picasso,7.7,N/A,"2,172",1h 18min,18 May 1956 (France),Henri-Georges Clouzot
906,McCullin,8.2,74,"2,169",1h 31min,30 October 2015 (USA),David Morris
907,Client 9: The Rise and Fall of Eliot Spitzer,7.4,68,"2,167",1h 57min,4 March 2011 (UK),Alex Gibney
908,Manny,7.1,N/A,"2,162",1h 28min,23 January 2015 (USA),Leon Gast
909,Italianamerican,7.5,N/A,"2,158",49min,October 1974 (USA),Martin Scorsese
910,Bill Hicks: Sane Man,8.4,N/A,"2,154",1h 21min,Video 1 December 1989,Kevin Booth
911,Girl Model,6.5,68,"2,153",1h 18min,10 February 2012 (Ireland),David Redmon
912,Countdown to Zero,6.9,70,"2,151",1h 31min,30 July 2010 (USA),Lucy Walker
913,You've Been Trumped,7.5,N/A,"2,150",1h 19min,6 July 2012 (UK),Anthony Baxter
914,Ceský sen,7.3,72,"2,147",1h 30min,15 June 2007 (USA),Vít Klusák
915,George Carlin: Doin' It Again,8.4,N/A,"2,142",1h,TV Special 2 June 1990,Rocco Urbisci
916,Maxed Out,7.2,65,"2,139",1h 30min,10 March 2006 (USA),James D. Scurlock
917,Los Angeles Plays Itself,8.0,86,"2,139",2h 49min,January 2004 (USA),Thom Andersen
918,Festival Express,7.6,85,"2,138",1h 30min,29 April 2004 (Netherlands),Bob Smeaton
919,Michael Jordan to the Max,7.5,N/A,"2,138",46min,5 May 2000 (USA),Don Kempf
920,Wild Man Blues,6.9,N/A,"2,133",1h 45min,17 April 1998 (USA),Barbara Kopple
921,Urbanized,7.3,N/A,"2,132",1h 25min,26 October 2011 (USA),Gary Hustwit
922,American Pimp,6.7,N/A,"2,132",1h 27min,January 1999 (USA),Albert Hughes
923,The Wall: Live in Berlin,8.6,N/A,"2,123",1h 55min,Video 21 July 1990,Ken O'Neill
924,Window Water Baby Moving,7.6,N/A,"2,122",13min,2 August 1959 (USA),Stan Brakhage
925,Confessions of a Superhero,7.1,N/A,"2,121",1h 32min,2 November 2007 (USA),Matthew Ogens
926,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",7.3,N/A,"2,120",1h 1min,TV Special 9 May 2017,Liz Plonka
927,The Death and Life of Marsha P. Johnson,7.3,76,"2,115",1h 45min,6 October 2017 (USA),David France
928,Anelka: Misunderstood,6.4,N/A,"2,115",1h 34min,5 August 2020 (USA),Franck Nataf
929,Top Gear: The Perfect Road Trip 2,7.9,N/A,"2,104",1h 34min,Video 17 November 2014,Phil Churchward
930,Painted with Words,8.0,N/A,"2,104",1h 20min,TV Movie 5 April 2010,Andrew Hutton
931,Extremis,7.3,N/A,"2,102",24min,16 September 2016 (USA),Dan Krauss
932,The Phantom Menace Review,9.5,N/A,"2,097",1h 9min,Video 10 December 2009,Mike Stoklasa
933,Patton Oswalt: Annihilation,7.2,N/A,"2,095",1h 6min,TV Special 17 October 2017,Bobcat Goldthwait
934,Chuck Norris vs. Communism,7.5,N/A,"2,094",1h 18min,12 November 2015 (Germany),Ilinca Calugareanu
935,Michael Jackson's Journey from Motown to Off the Wall,7.4,66,"2,090",1h 33min,24 January 2016 (USA),Spike Lee
936,Zapruder Film of Kennedy Assassination,7.7,N/A,"2,086",1min,1970 (USA),Abraham Zapruder
937,Prêt-à-jeter,8.1,N/A,"2,078",1h 15min,16 December 2010 (Spain),Cosima Dannoritzer
938,Iron Maiden: Rock in Rio,9.1,N/A,"2,078",2h,Video 20 August 2002,Dean Karr
939,Of Fathers and Sons,7.3,70,"2,075",1h 39min,16 November 2018 (USA),Talal Derki
940,Leonard Cohen: I'm Your Man,6.8,68,"2,074",1h 45min,28 July 2006 (USA),Lian Lunson
941,Resurrect Dead: The Mystery of the Toynbee Tiles,7.3,N/A,"2,073",1h 26min,1 August 2011 (USA),Jon Foy
942,Biebermania!,1.0,N/A,"2,072",1h 10min,Video 17 May 2011,Thomas Gibson
943,The Staircase II: The Last Chance,7.5,N/A,"2,068",2h 10min,30 January 2013 (France),Jean-Xavier de Lestrade
944,Banksy Does New York,7.3,N/A,"2,065",1h 19min,23 April 2015 (Australia),Chris Moukarbel
945,Beyoncé: Life Is But a Dream,6.5,N/A,"2,065",1h 28min,TV Movie 16 February 2013,Beyoncé
946,Drunk Stoned Brilliant Dead,7.2,74,"2,065",1h 38min,25 September 2015 (USA),Douglas Tirola
947,The Black Power Mixtape 1967-1975,7.6,73,"2,065",1h 40min,1 April 2011 (Sweden),Göran Olsson
948,In the Realms of the Unreal,7.3,74,"2,063",1h 21min,29 March 2008 (Japan),Jessica Yu
949,An Open Secret,7.4,66,"2,062",1h 39min,June 2015 (USA),Amy Berg
950,Heart of a Dog,7.1,84,"2,058",1h 15min,1 March 2016 (USA),Laurie Anderson
951,Tom Segura: Completely Normal,7.8,N/A,"2,058",1h 14min,TV Special 15 March 2014,Jay Chapman
952,The Bleeding Edge,7.7,74,"2,057",1h 39min,27 July 2018 (USA),Kirby Dick
953,McLibel,7.2,81,"2,057",1h 25min,20 May 2005 (USA),Ken Loach
954,Powers of Ten,8.0,N/A,"2,057",9min,N/A,Charles Eames
955,Manufacturing Dissent,5.7,N/A,"2,051",1h 37min,19 October 2007 (Netherlands),Rick Caine
956,The Problem with Apu,3.5,N/A,"2,047",49min,November 2017 (USA),Michael Melamedoff
957,Risk,6.3,72,"2,047",1h 26min,12 May 2017 (USA),Laura Poitras
958,At the Heart of Gold: Inside the USA Gymnastics Scandal,8.1,N/A,"2,046",1h 28min,3 May 2019 (USA),Erin Lee Carr
959,Jean-Michel Basquiat: The Radiant Child,7.8,74,"2,042",1h 28min,12 April 2011 (USA),Tamra Davis
960,Cristiano Ronaldo: World at His Feet,6.5,N/A,"2,037",54min,6 October 2015 (Italy),Tara Pirnia
961,Everything or Nothing,7.6,N/A,"2,035",1h 38min,1 October 2012 (Latvia),Stevan Riley
962,Taris,6.7,N/A,"2,027",10min,16 November 1962 (Finland),Jean Vigo
963,My Beautiful Broken Brain,7.1,N/A,"2,026",1h 26min,18 March 2016 (USA),Sophie Robinson
964,The Cheshire Murders,6.6,N/A,"2,026",1h 58min,TV Movie 22 July 2013,Kate Davis
965,McLaren,7.3,N/A,"2,023",1h 32min,17 August 2017 (USA),Roger Donaldson
966,Teenage Paparazzo,7.3,N/A,"2,021",1h 34min,12 January 2011 (UK),Adrian Grenier
967,Eddie Izzard: Definite Article,8.4,N/A,"2,021",1h 49min,Video 21 October 1996,Ed Bye
968,Live Aid,8.5,N/A,"2,019",16h,TV Special 13 July 1985,Vincent Scarza
969,Raiders!: The Story of the Greatest Fan Film Ever Made,6.9,70,"2,018",1h 46min,17 June 2016 (USA),Jeremy Coon
970,Prescription Thugs,7.0,N/A,"2,017",1h 26min,22 January 2016 (USA),Chris Bell
971,9 to 5: Days in Porn,6.4,N/A,"2,011",1h 53min,2 July 2009 (Germany),Jens Hoffmann
972,Ghost Adventures,7.8,N/A,"2,010",1h 27min,25 July 2007 (USA),Zak Bagans
973,I Am Trying to Break Your Heart,7.5,66,"2,008",1h 32min,21 June 2002 (USA),Sam Jones
974,ReMastered: Devil at the Crossroads,7.0,N/A,"1,994",48min,TV Movie 26 April 2019,Brian Oakes
975,The Magic Pill,7.1,N/A,"1,994",1h 31min,7 September 2017 (Australia),Robert Tate
976,Bad 25,7.9,69,"1,991",2h 11min,19 October 2012 (USA),Spike Lee
977,Untouchable,6.7,71,"1,990",1h 38min,2 September 2019 (USA),Ursula Macfarlane
978,Chasing Trane: The John Coltrane Documentary,7.3,N/A,"1,987",1h 39min,14 April 2017 (USA),John Scheinfeld
979,Love the Beast,7.5,N/A,"1,987",1h 32min,12 March 2009 (Australia),Eric Bana
980,Ukraine on Fire,5.3,N/A,"1,981",1h 35min,18 July 2017 (USA),Igor Lopatonok
981,The Work,7.8,84,"1,979",1h 29min,8 September 2017 (UK),Jairus McLeary
982,Memory: The Origins of Alien,6.7,70,"1,976",1h 35min,4 October 2019 (USA),Alexandre O. Philippe
983,San Pietro,6.6,N/A,"1,976",32min,3 May 1945 (USA),John Huston
984,Rewind This!,7.1,N/A,"1,966",1h 31min,27 August 2013 (USA),Josh Johnson
985,We Were Here,7.9,94,"1,966",1h 30min,September 2011 (USA),David Weissman
986,"That's Entertainment, Part II",7.4,N/A,"1,965",2h 13min,17 May 1976 (USA),Gene Kelly
987,The Carter Effect,7.0,N/A,"1,953",1h,23 April 2018 (USA),Sean Menard
988,Perfect Bid: The Contestant Who Knew Too Much,6.6,N/A,"1,950",1h 12min,13 October 2017 (USA),C.J. Wallis
989,Ingrid Bergman: In Her Own Words,7.4,75,"1,948",1h 54min,27 August 2015 (Denmark),Stig Björkman
990,Annabelle Serpentine Dance,6.5,N/A,"1,947",1min,1 April 1895 (USA),William K.L. Dickson
991,I'm Going to Tell You a Secret,7.8,N/A,"1,943",2h 8min,21 October 2005 (USA),Jonas Åkerlund
992,India's Daughter,8.2,72,"1,942",1h 3min,9 March 2015 (USA),Leslee Udwin
993,Call Me Lucky,7.6,64,"1,941",1h 46min,7 August 2015 (USA),Bobcat Goldthwait
994,Charles Darwin and the Tree of Life,8.5,N/A,"1,940",59min,TV Movie 1 February 2009,David Attenborough
995,American Murder: The Family Next Door,7.4,67,"1,999",1h 22min,30 September 2020 (USA),Jenny Popplewell
996,Why We Fight,7.0,N/A,"1,935",52min,27 May 1942 (USA),Frank Capra
997,King Corn,7.0,70,"1,933",1h 28min,25 April 2009 (Japan),Aaron Woolf
998,Sense8: Creating the World,8.6,N/A,"1,932",26min,TV Short 1 August 2015,Josh Oreck
999,Meet the Mormons,6.9,N/A,"1,931",1h 18min,26 February 2015 (Mexico),Blair Treu
1000,Tossing a Nigger in a Blanket,7.1,N/A,"1,930",1min,April 1898 (USA),William 'Daddy' Paley
1001,Man of Aran,7.3,N/A,"1,930",1h 16min,19 November 1934 (Sweden),Robert J. Flaherty
1002,Louis Theroux: A Place for Paedophiles,7.4,N/A,"1,918",45min,TV Movie 19 April 2009,Emma Cooper
1003,The Trials of Henry Kissinger,7.6,72,"1,916",1h 20min,7 May 2003 (France),Eugene Jarecki
1004,Crip Camp,7.8,86,"1,915",1h 46min,25 March 2020 (USA),James Lebrecht
1005,Trouble the Water,7.3,83,"1,913",1h 33min,5 December 2008 (UK),Carl Deal
1006,Class Action Park,7.0,69,"1,911",1h 30min,27 August 2020 (USA),Seth Porges
1007,A Crude Awakening: The Oil Crash,7.8,N/A,"1,907",1h 24min,Video March 2006,Basil Gelpke
1008,Pope Francis: A Man of His Word,6.2,63,"1,906",1h 36min,14 June 2018 (Germany),Wim Wenders
1009,La casa de papel: El fenómeno,7.5,N/A,"1,904",57min,TV Movie 3 April 2020,Luis Alfaro
1010,Fat Head,7.1,N/A,"1,903",1h 44min,3 February 2009 (USA),Tom Naughton
1011,Notes on Blindness,7.1,75,"1,900",1h 30min,1 July 2016 (UK),Peter Middleton
1012,American Zeitgeist,8.3,N/A,"1,898",2h 30min,16 June 2006 (USA),Rob McGann
1013,Jim Gaffigan: Obsessed,7.6,N/A,"1,896",1h,TV Special 27 April 2014,Jay Chapman
1014,Of Time and the City,7.3,81,"1,896",1h 14min,31 October 2008 (UK),Terence Davies
1015,Boy Interrupted,7.9,N/A,"1,892",1h 32min,5 September 2009 (France),Dana Heinz Perry
1016,Street Fight,7.9,85,"1,892",1h 23min,23 April 2005 (USA),Marshall Curry
1017,The Man Who Saved the World,7.6,N/A,"1,891",1h 50min,18 September 2015 (USA),Peter Anthony
1018,The Accountant of Auschwitz,7.3,N/A,"1,888",1h 20min,3 December 2019 (USA),Matthew Shoychet
1019,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,7.0,N/A,"1,888",1h 10min,10 March 2018 (USA),Tommy Avallone
1020,Nowitzki: The Perfect Shot,7.6,N/A,"1,887",1h 45min,September 2014 (Germany),Sebastian Dehnhardt
1021,The Undefeated,2.0,N/A,"1,887",1h 58min,15 July 2011 (USA),Steve Bannon
1022,Louis Theroux: Behind Bars,7.7,N/A,"1,887",1h,TV Movie 13 January 2008,Stuart Cabb
1023,Heal,6.9,N/A,"1,887",1h 46min,20 October 2017 (USA),Kelly Noonan
1024,Linsanity,7.3,N/A,"1,885",1h 29min,2 October 2013 (Philippines),Evan Jackson Leong
1025,Gunner Palace,6.6,70,"1,884",1h 25min,5 September 2004 (USA),Petra Epperlein
1026,The Other F Word,7.3,N/A,"1,880",1h 38min,6 December 2012 (Germany),Andrea Blaugrund Nevins
1027,Chasing Happiness,7.8,N/A,"1,876",1h 36min,4 June 2019 (USA),John Taylor
1028,Demetri Martin: Live (At the Time),7.4,N/A,"1,876",1h 1min,TV Special March 2015,Jay Karas
1029,Eddie Izzard: Circle,7.9,N/A,"1,876",1h 22min,Video 18 November 2002,Anastasia Pappas
1030,The Devil and Father Amorth,4.6,N/A,"1,870",1h 8min,20 April 2018 (USA),William Friedkin
1031,Kids for Cash,7.1,75,"1,869",1h 42min,1 August 2015 (Germany),Robert May
1032,God is Not Dead,5.0,N/A,"1,863",1h 24min,3 May 2013 (Turkey),Bahar Kilic
1033,The Speed Cubers,7.4,N/A,"1,863",39min,29 July 2020 (USA),Sue Kim
1034,Silicon Cowboys,6.8,75,"1,861",1h 17min,16 September 2016 (USA),Jason Cohen
1035,Crystal Lake Memories: The Complete History of Friday the 13th,8.5,N/A,"1,857",6h 40min,Video 13 September 2013,Daniel Farrands
1036,La Soufrière - Warten auf eine unausweichliche Katastrophe,7.6,N/A,"1,857",30min,3 December 2014 (France),Werner Herzog
1037,Junun,7.3,78,"1,856",54min,9 October 2015 (USA),Paul Thomas Anderson
1038,A Lego Brickumentary,6.8,N/A,"1,856",1h 33min,31 July 2015 (USA),Kief Davidson
1039,Endgame: Blueprint for Global Enslavement,6.9,N/A,"1,856",2h 19min,Video 1 November 2007,Alex Jones
1040,(Dis)Honesty: The Truth About Lies,7.5,N/A,"1,854",1h 30min,22 May 2015 (USA),Yael Melamede
1041,Latcho Drom,8.2,N/A,"1,853",1h 43min,4 March 1994 (USA),Tony Gatlif
1042,The Parking Lot Movie,7.1,63,"1,852",1h 14min,6 August 2010 (USA),Meghan Eckman
1043,Good Ol' Freda,7.3,N/A,"1,849",1h 26min,6 September 2013 (USA),Ryan White
1044,Justin Timberlake + the Tennessee Kids,7.8,81,"1,848",1h 30min,12 October 2016 (USA),Jonathan Demme
1045,The Great Global Warming Swindle,6.8,N/A,"1,848",1h 14min,TV Movie 8 March 2007,Martin Durkin
1046,Pussy Riot - A Punk Prayer,7.0,72,"1,847",1h 28min,5 July 2013 (UK),Mike Lerner
1047,The Endurance,7.8,85,"1,846",1h 37min,21 December 2001 (USA),George Butler
1048,The Rachel Divide,6.1,N/A,"1,846",1h 40min,27 April 2018 (USA),Laura Brownson
1049,Champs,7.3,N/A,"1,845",1h 25min,13 March 2015 (USA),Bert Marcus
1050,Cold Case Hammarskjöld,7.5,76,"1,844",2h 8min,16 August 2019 (USA),Mads Brügger
1051,The Up in Smoke Tour,8.5,N/A,"1,844",1h 59min,Video 2 December 2000,Philip G. Atwell
1052,Dangerous Days: Making Blade Runner,8.2,N/A,"1,839",3h 34min,Video 18 December 2007,Charles de Lauzirika
1053,The Jeffrey Dahmer Files,6.4,61,"1,838",1h 16min,23 July 2013 (USA),Chris James Thompson
1054,Print the Legend,7.0,N/A,"1,835",1h 40min,26 September 2014 (USA),Luis Lopez
1055,Concert for George,8.6,82,"1,834",2h 26min,Video 3 March 2004,David Leland
1056,Paragraph 175,7.7,85,"1,832",1h 21min,7 February 2002 (Germany),Rob Epstein
1057,Gelibolu,7.4,N/A,"1,829",1h 54min,18 March 2005 (Turkey),Tolga Örnek
1058,Louis and the Nazis,7.7,N/A,"1,828",1h 10min,TV Movie 21 December 2003,Stuart Cabb
1059,Milius,7.5,N/A,"1,827",1h 43min,11 January 2014 (USA),Joey Figueroa
1060,The Killing of America,7.6,N/A,"1,827",1h 30min,5 September 1981 (Japan),Sheldon Renan
1061,The American Nightmare,7.3,N/A,"1,824",1h 13min,20 July 2003 (Austria),Adam Simon
1062,Magnus,7.1,N/A,"1,823",1h 18min,18 November 2016 (USA),Benjamin Ree
1063,The Endless Summer 2,7.5,N/A,"1,823",1h 49min,3 June 1994 (USA),Bruce Brown
1064,Die Macht der Bilder: Leni Riefenstahl,8.3,N/A,"1,823",3h 3min,June 1994 (USA),Ray Müller
1065,How to Die in Oregon,8.3,N/A,"1,822",1h 47min,January 2011 (USA),Peter Richardson
1066,I.O.U.S.A.,7.5,70,"1,822",1h 25min,14 November 2008 (UK),Patrick Creadon
1067,George Carlin: What Am I Doing in New Jersey?,8.2,N/A,"1,822",1h 1min,TV Special 12 June 1988,Bruce Gowers
1068,Edison Kinetoscopic Record of a Sneeze,5.4,N/A,"1,817",1min,9 January 1894 (USA),William K.L. Dickson
1069,Pandora's Promise,7.4,N/A,"1,816",1h 27min,15 November 2013 (UK),Robert Stone
1070,The Last Days,7.5,N/A,"1,813",1h 27min,15 July 1999 (Australia),James Moll
1071,Pantani: The Accidental Death of a Cyclist,7.0,N/A,"1,812",1h 36min,9 July 2014 (USA),James Erskine
1072,Tea With the Dames,7.3,85,"1,810",1h 24min,2 May 2018 (UK),Roger Michell
1073,God Bless Ozzy Osbourne,7.5,N/A,"1,807",2h,16 September 2011 (UK),Mike Fleiss
1074,Springsteen on Broadway,8.5,N/A,"1,806",2h 33min,TV Movie 16 December 2018,Thom Zimny
1075,"Inner Worlds, Outer Worlds",8.6,N/A,"1,806",2h 2min,19 December 2012 (USA),Daniel Schmidt
1076,The Black Panthers: Vanguard of the Revolution,7.3,79,"1,805",1h 55min,23 October 2015 (UK),Stanley Nelson
1077,25 Litre,9.1,N/A,"1,805",N/A,TV Movie 22 April 2019,Burak Aksoy
1078,Terra,8.4,N/A,"1,804",1h 38min,TV Movie 1 December 2015,Yann Arthus-Bertrand
1079,We Live in Public,7.2,69,"1,804",1h 31min,3 September 2010 (Norway),Ondi Timoner
1080,The Battle of Midway,6.1,N/A,"1,804",18min,14 September 1942 (USA),John Ford
1081,Do I Sound Gay?,5.7,65,"1,802",1h 17min,10 July 2015 (USA),David Thorpe
1082,Videocracy,6.5,N/A,"1,800",1h 25min,28 August 2009 (Sweden),Erik Gandini
1083,Transcendent Man,7.2,N/A,"1,800",1h 23min,1 March 2011 (USA),Robert Barry Ptolemy
1084,Eric Clapton: A Life in 12 Bars,7.4,62,"1,799",2h 15min,24 November 2017 (USA),Lili Fini Zanuck
1085,Let's Get Lost,7.9,85,"1,796",2h,5 October 1989 (West Germany),Bruce Weber
1086,Into the Mind,7.1,N/A,"1,792",1h 22min,27 September 2013 (Spain),Eric Crosland
1087,Jane Fonda in Five Acts,8.0,87,"1,791",2h 13min,24 September 2018 (USA),Susan Lacy
1088,The Way Without Limits,6.5,N/A,"1,791",N/A,3 March 2019 (Spain),Joan Planas
1089,I Am Your Father,6.5,N/A,"1,789",1h 23min,7 January 2017 (Japan),Toni Bestard
1090,An Insignificant Man,8.7,N/A,"1,788",1h 36min,17 November 2017 (India),Khushboo Ranka
1091,Patton Oswalt: Talking for Clapping,6.8,N/A,"1,784",1h 5min,TV Special 22 April 2016,Patton Oswalt
1092,My Amityville Horror,5.5,N/A,"1,784",1h 28min,22 September 2012 (USA),Eric Walter
1093,B-Movie: Lust & Sound in West-Berlin 1979-1989,7.9,N/A,"1,780",1h 32min,8 February 2015 (Germany),Jörg A. Hoppe
1094,The Red Chapel,7.3,N/A,"1,780",1h 28min,29 December 2010 (USA),Mads Brügger
