,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
257,The September Issue,7.1,69,"7,357",1h 30min,25 September 2009 (USA),R.J. Cutler
258,Tower,7.9,92,"7,195",1h 22min,3 February 2017 (UK),Keith Maitland
259,The Armstrong Lie,7.3,67,"7,181",2h 4min,14 November 2013 (Portugal),Alex Gibney
260,Particle Fever,7.4,87,"7,134",1h 39min,3 September 2014 (Netherlands),Mark Levinson
261,Into the Inferno,7.2,76,"6,992",1h 44min,28 October 2016 (USA),Werner Herzog
262,Eddie Izzard: Dress to Kill,8.7,N/A,"6,969",1h 55min,Video 13 June 1999,Lawrence Jordan
263,A Sniper's War,2.2,N/A,"6,919",1h 23min,26 June 2018 (USA),Olya Schechter
264,Bébé(s),7.1,63,"6,917",1h 19min,7 May 2010 (USA),Thomas Balmès
265,Listen to Me Marlon,8.2,87,"6,902",1h 43min,29 July 2015 (USA),Stevan Riley
266,The White Helmets,7.5,N/A,"6,899",41min,16 September 2016 (USA),Orlando von Einsiedel
267,The Kid Stays in the Picture,7.3,75,"6,899",1h 33min,16 August 2002 (USA),Nanette Burstein
268,The Central Park Five,7.7,79,"6,865",1h 59min,25 April 2014 (Germany),Ken Burns
269,Kurt & Courtney,6.1,N/A,"6,843",1h 35min,27 February 1998 (USA),Nick Broomfield
270,Unacknowledged,7.0,N/A,"6,722",1h 40min,9 May 2017 (USA),Michael Mazzola
271,Undefeated,7.7,71,"6,709",1h 53min,3 August 2012 (UK),Daniel Lindsay
272,Being Elmo: A Puppeteer's Journey,7.6,71,"6,693",1h 20min,27 April 2012 (UK),Constance Marks
273,The Fear of 13,7.7,N/A,"6,670",1h 36min,15 November 2015 (USA),David Sington
274,Hillary's America: The Secret History of the Democratic Party,5.3,N/A,"6,666",1h 46min,22 July 2016 (USA),Dinesh D'Souza
275,Bobby Fischer Against the World,7.4,76,"6,659",1h 33min,6 June 2011 (USA),Liz Garbus
276,Freakonomics,6.4,N/A,"6,657",1h 25min,3 September 2010 (USA),Heidi Ewing
277,Robin Williams: Come Inside My Mind,8.0,74,"6,639",1h 56min,16 July 2018 (USA),Marina Zenovich
278,Collapse,7.7,71,"6,623",1h 22min,17 March 2011 (Denmark),Chris Smith
